epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_vae_anneal_metric,x_pred_categorical_accuracy,x_pred_vae_anneal_metric
0,3.692096471786499,1.961719036102295,0.631433367729187,3.7017207432654686e-07,0.4004296064376831,3.7017207432654686e-07
1,2.4017374515533447,1.7492704391479492,0.631433367729187,6.168544928186748e-07,0.6316555738449097,6.168544928186748e-07
2,2.0049374103546143,1.567382574081421,0.6407833695411682,1.0279256912326673e-06,0.6372259259223938,1.0279255775458296e-06
3,1.7110546827316284,1.4012064933776855,0.6655166745185852,1.7129339084931416e-06,0.6487073302268982,1.7129340221799794e-06
4,1.512876272201538,1.394334316253662,0.6649166941642761,2.8544293400045717e-06,0.6594592332839966,2.8544293400045717e-06
5,1.4008408784866333,1.3808238506317139,0.6665499806404114,4.756610906042624e-06,0.6681628823280334,4.756610451295273e-06
6,1.32805335521698,1.3376109600067139,0.6694499254226685,7.92639002611395e-06,0.6697518229484558,7.926390935608651e-06
7,1.2778661251068115,1.300761103630066,0.6706333160400391,1.3208464224589989e-05,0.6755518913269043,1.3208466043579392e-05
8,1.2334966659545898,1.2710425853729248,0.6745166778564453,2.2010388420312665e-05,0.6833796501159668,2.2010386601323262e-05
9,1.205585241317749,1.2259362936019897,0.6814332604408264,3.66775639122352e-05,0.6857444643974304,3.66775639122352e-05
10,1.1797590255737305,1.197678565979004,0.6833166480064392,6.111799302743748e-05,0.6905888915061951,6.111799302743748e-05
11,1.1517293453216553,1.1406937837600708,0.6902999877929688,0.0001018428520183079,0.6970943808555603,0.0001018428520183079
12,1.1331180334091187,1.143183946609497,0.6944167017936707,0.00016969938587862998,0.6971907019615173,0.0001696994004305452
13,1.1220952272415161,1.1500980854034424,0.6964166760444641,0.0002827550342772156,0.7016574144363403,0.0002827550342772156
14,1.11638343334198,1.146919846534729,0.6926999688148499,0.0004710941284429282,0.7027536630630493,0.00047109409933909774
15,1.1015701293945312,1.1053657531738281,0.6969665884971619,0.0007847847300581634,0.7006388902664185,0.0007847846718505025
16,1.0867267847061157,1.114517092704773,0.6986333131790161,0.0013070814311504364,0.7043222784996033,0.0013070814311504364
17,1.0794281959533691,1.0825001001358032,0.7015999555587769,0.002176224486902356,0.704727828502655,0.002176224486902356
18,1.0769789218902588,1.0435099601745605,0.7073832750320435,0.0036212082486599684,0.7058426141738892,0.0036212082486599684
19,1.1018799543380737,1.0800732374191284,0.7030333280563354,0.00601985352113843,0.7025462985038757,0.00601985352113843
20,1.113776445388794,1.0576908588409424,0.7081833481788635,0.009991399943828583,0.7007777690887451,0.009991399943828583
21,1.108453631401062,1.0600367784500122,0.7055667042732239,0.016539542004466057,0.7040073871612549,0.016539542004466057
22,1.1057966947555542,1.0724871158599854,0.70660001039505,0.027261018753051758,0.7049999237060547,0.027261018753051758
23,1.115429401397705,1.0925509929656982,0.7043499946594238,0.04461720213294029,0.7048556208610535,0.04461720213294029
24,1.1307930946350098,1.1084364652633667,0.7065499424934387,0.07220327854156494,0.7044351696968079,0.07220327854156494
25,1.150643229484558,1.1210265159606934,0.7065500020980835,0.1147959753870964,0.7049036622047424,0.1147959753870964
26,1.167585015296936,1.1223034858703613,0.7070999145507812,0.17770178616046906,0.7050833106040955,0.17770180106163025
27,1.181623935699463,1.13023042678833,0.7053166627883911,0.26476824283599854,0.7043129205703735,0.26476824283599854
28,1.1958943605422974,1.14259672164917,0.705716609954834,0.3750375509262085,0.7052536606788635,0.3750375509262085
29,1.2067546844482422,1.1470526456832886,0.7030500173568726,0.5,0.7052129507064819,0.5
